
Data downloaded from OMNIWeb and processed by omniweb_read.py

No AlphaRatio was considered

#TIMEDELAY
0.0

#START
 2023 07 07 00 52 00 000   -6.17     0.93     6.07  -454.50     45.30    -29.30    7.66    251539.0
 2023 07 07 00 53 00 000   -6.52     2.54     6.35  -454.50     45.30    -29.30    7.66    251539.0
 2023 07 07 00 54 00 000   -6.42     1.76     5.44  -456.20     36.60    -22.70    7.83    285597.0
 2023 07 07 00 55 00 000   -6.29     3.95     4.26  -459.20     21.20    -11.10    8.12    346145.0
 2023 07 07 00 56 00 000   -5.56     3.30     3.14  -463.30      7.80      1.10    8.31    354110.0
 2023 07 07 00 57 00 000   -5.04     5.42     2.30  -469.60    -12.60     19.70    8.63    366706.0
 2023 07 07 00 58 00 000   -4.47     4.04     3.29  -469.90      6.50     12.50    9.41    440117.0
 2023 07 07 00 59 00 000   -4.72     6.51     5.28  -455.40    105.80      4.50    8.96    445693.0
 2023 07 07 01 00 00 000   -3.84     6.29     6.26  -452.00    129.10      2.70    8.84    445587.0
 2023 07 07 01 01 00 000   -4.02     5.79     6.62  -452.00    129.10      2.70    8.84    445587.0
 2023 07 07 01 02 00 000   -3.95     6.00     6.15  -476.60     20.40    -11.30    7.71    308598.0
 2023 07 07 01 03 00 000   -3.54     5.63     6.48  -478.20     22.00    -11.30    7.71    312126.0
 2023 07 07 01 04 00 000   -4.26     6.98     2.75  -480.00     21.90     -8.10    7.79    321963.0
 2023 07 07 01 05 00 000   -4.86     8.26     1.72  -480.00     21.90     -8.10    7.79    321963.0
 2023 07 07 01 06 00 000   -4.33     8.55     0.94  -480.00     21.90     -8.10    7.79    321963.0
 2023 07 07 01 07 00 000   -2.89     8.91     0.50  -472.90      1.00     20.60    7.77    296535.0
 2023 07 07 01 08 00 000   -0.34     9.35    -3.76  -485.30      3.00     33.20    7.67    315997.0
 2023 07 07 01 09 00 000   -0.44     9.50    -3.50  -497.80      5.00     45.80    7.56    335610.0
 2023 07 07 01 10 00 000   -0.38     9.41    -3.71  -502.80      8.20     57.50    6.93    287790.0
 2023 07 07 01 11 00 000    1.13     9.03    -4.93  -502.80      8.20     57.50    6.93    287790.0
 2023 07 07 01 12 00 000    1.28     8.48    -6.04  -502.80      8.20     57.50    6.93    287790.0
 2023 07 07 01 13 00 000    0.45     8.77    -5.56  -502.80      8.20     57.50    6.93    287790.0
 2023 07 07 01 14 00 000    0.21     8.97    -4.94  -501.80      9.30     56.20    7.18    288876.0
 2023 07 07 01 15 00 000    0.11     9.23    -4.50  -501.80      9.30     56.20    7.18    288876.0
 2023 07 07 01 16 00 000    0.02     8.76    -5.42  -501.80      9.30     56.20    7.18    288876.0
 2023 07 07 01 17 00 000   -1.68     9.25    -2.62  -501.80      9.30     56.20    7.18    288876.0
 2023 07 07 01 18 00 000   -2.18     9.72    -1.03  -501.80      9.30     56.20    7.18    288876.0
 2023 07 07 01 19 00 000   -2.11     9.74    -1.94  -501.80      9.30     56.20    7.18    288876.0
 2023 07 07 01 20 00 000   -3.31     9.29    -2.79  -501.80      9.30     56.20    7.18    288876.0
 2023 07 07 01 21 00 000   -0.75     8.91    -4.19  -498.80      5.30     52.00    8.01    325280.0
 2023 07 07 01 22 00 000   -1.36     3.24     1.98  -501.60     11.70     48.00    8.65    403808.0
 2023 07 07 01 23 00 000   -2.96     1.36     2.83  -488.30     60.50     -8.30    8.30    367147.0
 2023 07 07 01 24 00 000   -3.72    -1.74     7.78  -489.10     45.50     21.10    7.59    313806.0
 2023 07 07 01 25 00 000   -4.12    -1.17     8.04  -480.80     75.90    -15.60    8.20    317558.0
 2023 07 07 01 26 00 000   -1.56     3.51     8.47  -484.90     35.40     -7.50    7.97    356913.0
 2023 07 07 01 27 00 000   -4.67    -2.49     7.57  -499.10     28.10     -7.00    8.01    365846.0
 2023 07 07 01 28 00 000   -3.00     1.11     7.10  -471.40     66.60     -9.20    9.22    394570.0
 2023 07 07 01 29 00 000    0.48     6.97     4.64  -487.50     40.10     -0.80    8.40    346520.0
 2023 07 07 01 30 00 000    1.10     8.03     3.00  -509.40      5.20      8.90    7.34    288876.0
 2023 07 07 01 31 00 000   -1.37     8.30    -0.24  -509.40      5.20      8.90    7.34    288876.0
 2023 07 07 01 32 00 000   -1.54     8.34    -0.48  -502.10      0.20     31.50    7.54    305904.0
 2023 07 07 01 33 00 000   -0.67     7.74     0.52  -492.20     -1.90     31.40    7.93    338313.0
 2023 07 07 01 34 00 000   -0.30     7.52     1.82  -495.80      2.70     22.20    8.12    391519.0
 2023 07 07 01 35 00 000   -0.16     7.16     1.45  -500.10      5.40     13.60    8.08    426278.0
 2023 07 07 01 36 00 000   -0.36     6.37     3.48  -498.00     18.80      7.70    8.20    456662.0
 2023 07 07 01 37 00 000   -0.44     6.30     5.61  -497.70     17.00      5.30    8.26    410164.0
 2023 07 07 01 38 00 000   -0.16     5.12     7.58  -497.00     13.30      0.30    8.40    313632.0
 2023 07 07 01 39 00 000    0.86     4.68     8.45  -498.00     44.00    -10.60    8.08    313022.0
 2023 07 07 01 40 00 000    1.64     5.49     7.99  -504.80     41.30     -7.80    7.59    287916.0
 2023 07 07 01 41 00 000    3.37     2.75     8.49  -509.70     39.30     -5.70    7.25    269723.0
 2023 07 07 01 42 00 000    3.75     3.12     8.20  -527.30     47.30    -10.70    7.21    280575.0
 2023 07 07 01 43 00 000    4.45     1.12     8.48  -527.30     47.30    -10.70    7.21    280575.0
 2023 07 07 01 44 00 000    4.18     1.34     8.74  -528.90     43.60    -17.50    6.63    237767.0
 2023 07 07 01 45 00 000    4.07     2.14     8.59  -526.70     40.00    -16.50    6.91    235100.0
 2023 07 07 01 46 00 000    4.16     2.49     8.56  -519.60     28.20    -13.10    7.86    226377.0
 2023 07 07 01 47 00 000    4.22     1.40     8.41  -536.00     46.00    -14.50    8.35    297124.0
 2023 07 07 01 48 00 000    3.10    -2.15     8.86  -535.30     51.30    -15.40    8.25    302659.0
 2023 07 07 01 49 00 000    3.22    -1.66     8.51  -517.30     66.80    -19.20    7.32    275580.0
 2023 07 07 01 50 00 000    4.20     0.41     8.21  -516.60     67.40    -19.40    7.28    274511.0
 2023 07 07 01 51 00 000    3.49    -2.66     8.76  -516.60     67.40    -19.40    7.28    274511.0
 2023 07 07 01 52 00 000    3.88     0.66     8.58  -516.60     67.40    -19.40    7.28    274511.0
 2023 07 07 01 53 00 000    3.29    -0.76     8.64  -514.00     98.10    -19.20    7.09    276307.0
 2023 07 07 01 54 00 000    2.56     1.83     9.40  -514.00     98.10    -19.20    7.09    276307.0
 2023 07 07 01 55 00 000    2.18     1.37     9.63  -514.00     98.10    -19.20    7.09    276307.0
 2023 07 07 01 56 00 000    2.64     1.13     9.52  -514.00     98.10    -19.20    7.09    276307.0
 2023 07 07 01 57 00 000    2.03     1.63     9.68  -511.60     47.50    -14.00    7.62    284794.0
 2023 07 07 01 58 00 000    2.46     1.14     9.52  -511.60     47.50    -14.00    7.62    284794.0
 2023 07 07 01 59 00 000    1.43     1.23     9.63  -511.60     47.50    -14.00    7.62    284794.0
 2023 07 07 02 00 00 000    1.19     1.19     9.60  -511.60     47.50    -14.00    7.62    284794.0
 2023 07 07 02 01 00 000    2.07     2.45     9.17  -507.50     54.30    -23.30    7.79    292819.0
 2023 07 07 02 02 00 000    1.54     1.57     9.19  -507.50     54.30    -23.30    7.79    292819.0
 2023 07 07 02 03 00 000   -1.31    -1.16     9.41  -496.60     57.30    -17.40    6.65    239591.0
 2023 07 07 02 04 00 000   -1.71    -0.55     9.38  -496.60     57.30    -17.40    6.65    239591.0
 2023 07 07 02 05 00 000    0.67     1.29     8.95  -496.60     57.30    -17.40    6.65    239591.0
 2023 07 07 02 06 00 000   -0.44    -0.36     9.25  -496.60     57.30    -17.40    6.65    239591.0
 2023 07 07 02 07 00 000   -0.64    -0.22     9.37  -496.60     57.30    -17.40    6.65    239591.0
 2023 07 07 02 08 00 000   -1.22    -1.37     9.35  -496.60     57.30    -17.40    6.65    239591.0
 2023 07 07 02 09 00 000    0.40     0.34     9.24  -490.50     60.30    -16.80    7.67    331925.0
 2023 07 07 02 10 00 000    0.39     0.76     9.55  -490.50     60.30    -16.80    7.67    331925.0
 2023 07 07 02 11 00 000   -0.39     0.68     9.51  -490.50     60.30    -16.80    7.67    331925.0
 2023 07 07 02 12 00 000    1.01     0.80     9.41  -496.80     53.30    -21.50    7.96    293830.0
 2023 07 07 02 13 00 000    1.42     0.80     9.52  -499.40     51.10    -21.80    7.88    281478.0
 2023 07 07 02 14 00 000    0.96     0.91     9.64  -502.90     48.20    -22.20    7.77    265378.0
 2023 07 07 02 15 00 000    1.06    -0.06     9.65  -502.90     48.20    -22.20    7.77    265378.0
 2023 07 07 02 16 00 000    1.09    -0.22     9.63  -502.90     48.20    -22.20    7.77    265378.0
 2023 07 07 02 17 00 000    0.25     1.39     9.61  -502.90     48.20    -22.20    7.77    265378.0
 2023 07 07 02 19 00 000    0.80    -0.55     9.04  -502.90     48.20    -22.20    7.77    265378.0
 2023 07 07 02 20 00 000   -0.07    -3.99     8.11  -502.90     48.20    -22.20    7.77    265378.0
 2023 07 07 02 21 00 000    0.38    -1.32     8.90  -502.90     48.20    -22.20    7.77    265378.0
 2023 07 07 02 22 00 000    0.30    -2.50     8.52  -495.90     78.30    -14.80    7.45    323878.0
 2023 07 07 02 23 00 000   -2.31     2.91     4.16  -480.90     28.10     -3.60    7.86    375334.0
 2023 07 07 02 24 00 000   -2.32     3.27     3.33  -465.30    -23.80      8.00    8.26    428612.0
 2023 07 07 02 25 00 000   -1.37     3.20     2.78  -465.30    -23.80      8.00    8.26    428612.0
 2023 07 07 02 26 00 000   -1.25     0.91     6.08  -498.30     74.80    -17.50    7.40    364187.0
 2023 07 07 02 27 00 000   -3.69     5.29     4.24  -483.00     22.00     -7.90    7.55    347115.0
 2023 07 07 02 28 00 000   -4.19     5.99     2.37  -474.10     -8.80     -2.20    7.65    337144.0
 2023 07 07 02 29 00 000   -4.26     6.15     1.78  -468.90     10.40      5.20    7.71    366171.0
 2023 07 07 02 30 00 000   -4.63     5.96     2.81  -472.30     16.80      3.30    7.80    372438.0
 2023 07 07 02 31 00 000   -5.06     5.50     3.19  -475.50     22.80      1.50    7.89    378346.0
 2023 07 07 02 32 00 000   -1.73     3.22     6.44  -504.70     63.20     -8.00    7.40    242264.0
 2023 07 07 02 33 00 000   -4.51     6.22     2.71  -504.70     63.20     -8.00    7.40    242264.0
 2023 07 07 02 34 00 000   -3.26    -0.36     7.27  -504.70     63.20     -8.00    7.40    242264.0
 2023 07 07 02 35 00 000   -2.97     0.05     6.87  -455.50     83.90    -37.80    8.53    228380.0
 2023 07 07 02 36 00 000   -4.24     1.09     5.82  -455.50     83.90    -37.80    8.53    228380.0
 2023 07 07 02 37 00 000   -6.34     2.38     4.31  -455.50     83.90    -37.80    8.53    228380.0
 2023 07 07 02 38 00 000   -3.74    -0.22     6.38  -481.60     45.90    -13.50    8.14    373006.0
 2023 07 07 02 39 00 000   -5.99     2.98     3.60  -481.60     45.90    -13.50    8.14    373006.0
 2023 07 07 02 40 00 000   -3.94     1.28     6.79  -481.60     45.90    -13.50    8.14    373006.0
 2023 07 07 02 41 00 000   -4.21     1.37     6.76  -481.60     45.90    -13.50    8.14    373006.0
 2023 07 07 02 42 00 000   -3.90     2.66     3.91  -481.60     45.90    -13.50    8.14    373006.0
 2023 07 07 02 43 00 000   -3.20    -0.65     7.50  -481.60     45.90    -13.50    8.14    373006.0
 2023 07 07 02 44 00 000   -0.21     0.47     8.37  -481.60     45.90    -13.50    8.14    373006.0
 2023 07 07 02 45 00 000   -6.10     3.42     2.97  -447.20     16.80     35.70    7.03    170844.0
 2023 07 07 02 46 00 000   -6.06     2.31     3.67  -447.20     16.80     35.70    7.03    170844.0
 2023 07 07 02 47 00 000   -4.45     1.94     4.77  -446.50     25.20     18.00    6.48    159487.0
 2023 07 07 02 48 00 000   -7.38     3.54     1.94  -446.40     25.90     16.40    6.43    158473.0
 2023 07 07 02 49 00 000   -5.51     0.64     4.53  -446.40     25.90     16.40    6.43    158473.0
 2023 07 07 02 50 00 000   -6.99     2.65     2.88  -446.40     25.90     16.40    6.43    158473.0
 2023 07 07 02 51 00 000   -6.45     2.36     3.70  -446.40     25.90     16.40    6.43    158473.0
 2023 07 07 02 52 00 000   -6.64     3.45     3.53  -446.40     25.90     16.40    6.43    158473.0
 2023 07 07 02 53 00 000   -4.58     2.06     4.83  -464.80     61.40      3.60    7.92    330451.0
 2023 07 07 02 54 00 000   -2.93     2.41     5.88  -460.40     52.40     17.80    7.99    338767.0
 2023 07 07 02 55 00 000   -3.23     1.57     5.79  -468.60     53.70     -6.60    7.91    339350.0
 2023 07 07 02 56 00 000   -3.44    -0.06     6.53  -476.00     62.00    -24.20    7.77    332516.0
 2023 07 07 02 57 00 000   -2.60    -1.02     7.27  -475.90     52.80    -15.10    8.11    389538.0
 2023 07 07 02 58 00 000   -1.15    -2.71     7.76  -491.30     78.10    -16.60    7.44    303140.0
 2023 07 07 02 59 00 000   -3.98     0.20     7.56  -487.20     72.00    -16.40    7.42    301484.0
 2023 07 07 03 00 00 000   -3.82    -0.50     7.75  -471.60     48.30    -15.20    7.39    300931.0
 2023 07 07 03 01 00 000   -3.92     0.37     7.51  -471.60     48.30    -15.20    7.39    300931.0
 2023 07 07 03 02 00 000   -3.29    -3.09     7.19  -471.60     48.30    -15.20    7.39    300931.0
 2023 07 07 03 03 00 000   -4.22    -0.25     7.19  -474.00     62.70     -9.50    7.40    277863.0
 2023 07 07 03 04 00 000   -3.78    -1.64     7.39  -478.00     69.00     -9.00    7.61    307242.0
 2023 07 07 03 05 00 000   -4.62    -1.01     4.54  -480.40     76.60     -5.20    7.58    319699.0
 2023 07 07 03 06 00 000   -3.93    -1.82     7.51  -480.40     76.60     -5.20    7.58    319699.0
 2023 07 07 03 07 00 000   -4.61     0.13     6.97  -468.70     58.60    -20.70    7.60    239211.0
 2023 07 07 03 08 00 000   -5.39     3.37     4.98  -468.70     58.60    -20.70    7.60    239434.0
 2023 07 07 03 09 00 000   -5.45     4.82     3.45  -460.00     44.50     -5.50    7.53    296987.0
 2023 07 07 03 10 00 000   -4.27     2.43     1.75  -461.40     38.00     -3.00    7.45    296714.0
 2023 07 07 03 11 00 000   -1.00    -2.93     8.26  -492.90     71.30    -22.10    7.51    279999.0
 2023 07 07 03 12 00 000   -1.37    -3.01     8.35  -492.90     71.30    -22.10    7.51    279999.0
 2023 07 07 03 13 00 000   -1.77    -3.11     8.60  -492.90     71.30    -22.10    7.51    279999.0
 2023 07 07 03 14 00 000   -1.82    -2.37     8.66  -492.00     79.80    -16.20    6.94    257425.0
 2023 07 07 03 15 00 000   -2.72    -1.36     8.31  -492.00     79.80    -16.20    6.94    257425.0
 2023 07 07 03 16 00 000   -5.37     3.11     3.44  -492.00     79.80    -16.20    6.94    257425.0
 2023 07 07 03 17 00 000   -5.51     5.69     1.75  -454.30     19.70      6.60    6.77    244182.0
 2023 07 07 03 18 00 000   -6.46     4.65     2.45  -453.50     16.50      7.20    6.87    198640.0
 2023 07 07 03 19 00 000   -6.22     4.85     2.67  -452.70     13.00      7.80    6.99    149320.0
 2023 07 07 03 20 00 000   -6.37     4.83     2.30  -452.70     13.00      7.80    6.99    149320.0
 2023 07 07 03 21 00 000   -4.40     2.33     5.24  -452.70     13.00      7.80    6.99    149320.0
 2023 07 07 03 22 00 000   -4.54     1.93     6.52  -477.00     57.70    -16.50    6.76    282391.0
 2023 07 07 03 23 00 000   -5.02     2.75     5.89  -476.40     53.90    -17.40    6.84    284506.0
 2023 07 07 03 24 00 000   -5.75     3.11     4.62  -466.10     23.20    -22.40    8.03    328167.0
 2023 07 07 03 25 00 000   -6.01     2.87     4.61  -459.80     33.10    -16.70    8.43    362371.0
 2023 07 07 03 26 00 000   -6.02     2.82     4.45  -447.20     42.30     15.10    8.13    361973.0
 2023 07 07 03 27 00 000   -5.06     3.79     5.19  -447.20     42.30     15.10    8.13    361973.0
 2023 07 07 03 28 00 000   -5.12     4.05     4.84  -447.20     42.30     15.10    8.13    361973.0
 2023 07 07 03 29 00 000   -4.70     4.89     4.43  -464.20     13.00      0.40    7.79    334259.0
 2023 07 07 03 30 00 000   -4.41     4.53     4.87  -464.20     13.00      0.40    7.79    334259.0
