GITM2 log file
## Inputs from UAM.in
# Resart= F
# Eddy coef:    50.000 Eddy P0:     0.010 Eddy P1:     0.005
# Statistical Models Only:  F Apex:  T
# EUV Data:  TFile: 
UA/DataIn/FISM/fismflux_daily_2023.dat                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# AMIE: none           
none                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
# Solar Heating:  T Joule Heating:  T Auroral Heating:  T
# NO Cooling:  T O Cooling:  T
# Conduction:  T Turbulent Conduction:  T
# Pressure Grad:  T Ion Drag:  T Neutral Drag:  T
# Viscosity:  T Coriolis:  T Gravity:  T
# Ion Chemistry:  T Ion Advection:  T Neutral Chemistry:  T
 
#START
   iStep yyyy mm dd hh mm ss  ms      dt min(T) max(T) mean(T) min(VV) max(VV) mean(VV) F107 F107A By Bz Vx HP HPn HPs SubsolarLon SubsolarLat SubsolarVTEC
       2 2023  7  7  0  0  4 108  4.1090    159.92815   1326.83950   1004.56174     -7.44944     11.23676     -0.24014    166.8    172.6     -3.6      6.2    433.7     68.7    171.2    184.6   3.14129   0.39509  41.04835
       3 2023  7  7  0  0  8  85  3.9769    160.27181   1326.82646   1004.62386     -8.30302     11.78885     -0.38814    166.8    172.6     -3.6      6.2    433.7     68.8    171.2    184.6   3.14100   0.39509  41.08956
       4 2023  7  7  0  0 12  50  3.9651    160.40555   1326.81298   1004.69672     -7.37419      9.34852     -0.57788    166.8    172.6     -3.7      6.2    433.7     68.9    171.2    184.6   3.14072   0.39509  41.15286
       5 2023  7  7  0  0 16  54  4.0040    160.29703   1326.79141   1004.77628     -8.38389      9.76109     -0.75478    166.8    172.6     -3.7      6.2    433.7     69.0    171.2    184.6   3.14043   0.39509  41.22459
       6 2023  7  7  0  0 20  26  3.9716    160.01032   1326.76402   1004.85858     -9.23892      9.98953     -0.88014    166.8    172.6     -3.8      6.2    433.7     69.2    171.2    184.6   3.14014   0.39509  41.27411
       7 2023  7  7  0  0 23 999  3.9729    159.73019   1326.72948   1004.94346     -9.89935     11.10760     -0.96431    166.8    172.6     -3.9      6.2    433.7     69.3    171.2    184.6   3.13985   0.39509  41.32814
       8 2023  7  7  0  0 27 960  3.9613    159.68116   1326.68937   1005.02957    -10.72201     12.16039     -1.05622    166.8    172.6     -3.9      6.2    433.7     69.4    171.2    184.6   3.13956   0.39509  41.36056
       9 2023  7  7  0  0 31 929  3.9683    159.71197   1326.64416   1005.11682    -12.01144     12.46291     -1.17515    166.8    172.6     -4.0      6.2    433.7     69.5    171.2    184.6   3.13927   0.39509  41.39764
      10 2023  7  7  0  0 35 913  3.9844    159.73214   1326.59613   1005.20523    -12.79387     14.04919     -1.32692    166.8    172.6     -4.0      6.2    433.7     69.6    171.2    184.6   3.13898   0.39509  41.41431
      11 2023  7  7  0  0 39 911  3.9980    159.63178   1326.54864   1005.29463    -13.98748     15.70714     -1.46806    166.8    172.6     -4.1      6.2    433.7     69.8    171.2    184.6   3.13869   0.39509  41.43893
