GITM2 log file
## Inputs from UAM.in
# Resart= F
# Eddy coef:    50.000 Eddy P0:     0.010 Eddy P1:     0.005
# Statistical Models Only:  F Apex:  T
# EUV Data:  TFile: 
UA/DataIn/FISM/fismflux_daily_2023.dat                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# AMIE: none           
none                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
# Solar Heating:  T Joule Heating:  T Auroral Heating:  T
# NO Cooling:  T O Cooling:  T
# Conduction:  T Turbulent Conduction:  T
# Pressure Grad:  T Ion Drag:  T Neutral Drag:  T
# Viscosity:  T Coriolis:  T Gravity:  T
# Ion Chemistry:  T Ion Advection:  T Neutral Chemistry:  T
 
#START
   iStep yyyy mm dd hh mm ss  ms      dt min(T) max(T) mean(T) min(VV) max(VV) mean(VV) F107 F107A By Bz Vx HP HPn HPs SubsolarLon SubsolarLat SubsolarVTEC
      12 2023  7  7  0  0 43 915  4.0044    159.40255   1326.50407   1005.38490    -15.64610     16.10890     -1.56704    166.8    172.6     -4.1      6.2    433.7     69.9    171.2    184.6   3.13840   0.39509  41.44468
      13 2023  7  7  0  0 47 929  4.0138    159.26425   1326.46248   1005.47577    -16.27513     17.93137     -1.65178    166.8    172.6     -4.2      6.2    433.7     70.0    171.2    184.6   3.13811   0.39509  41.46075
      14 2023  7  7  0  0 51 962  4.0324    159.27893   1326.42275   1005.56716    -18.12516     19.58484     -1.75616    166.8    172.6     -4.3      6.2    433.7     70.1    171.2    184.6   3.13781   0.39509  41.45879
      15 2023  7  7  0  0 56  15  4.0534    159.34540   1326.38466   1005.65887    -19.53600     20.38691     -1.88435    166.8    172.6     -4.3      6.2    433.7     70.2    171.2    184.6   3.13752   0.39509  41.46959
      16 2023  7  7  0  1  0  83  4.0681    159.39235   1326.34920   1005.75079    -21.32191     22.06973     -2.01393    166.8    172.6     -4.4      6.2    433.7     70.4    171.2    184.6   3.13722   0.39509  41.46156
      17 2023  7  7  0  1  4 159  4.0755    159.34319   1326.31757   1005.84267    -22.37008     22.53468     -2.12127    166.8    172.6     -4.4      6.1    433.7     70.5    171.2    184.6   3.13693   0.39509  41.46929
      18 2023  7  7  0  1  8 242  4.0837    159.20863   1326.28999   1005.93463    -24.46171     25.23721     -2.21037    166.8    172.6     -4.5      6.1    433.7     70.6    171.2    184.6   3.13663   0.39509  41.45703
      19 2023  7  7  0  1 12 319  4.0771    159.13176   1326.26625   1006.02590    -26.21772     25.35286     -2.30118    166.8    172.6     -4.5      6.1    433.7     70.8    171.2    184.6   3.13633   0.39509  41.46294
      20 2023  7  7  0  1 16 401  4.0813    159.15489   1326.24460   1006.11666    -28.19776     27.63480     -2.40382    166.8    172.6     -4.6      6.0    433.7     70.9    171.2    184.6   3.13604   0.39509  41.44911
      21 2023  7  7  0  1 20 486  4.0856    159.25667   1326.22478   1006.20678    -29.01232     28.37811     -2.51067    166.8    172.6     -4.7      6.0    433.7     71.0    171.2    184.6   3.13574   0.39509  41.45423
      22 2023  7  7  0  1 24 576  4.0894    159.35263   1326.20713   1006.29634    -31.67941     30.64368     -2.60945    166.8    172.6     -4.7      5.9    433.7     71.2    171.2    184.6   3.13544   0.39509  41.43858
      23 2023  7  7  0  1 28 670  4.0939    159.35388   1326.19222   1006.38530    -32.58107     31.86855     -2.69171    166.8    172.6     -4.8      5.9    433.7     71.3    171.2    184.6   3.13514   0.39509  41.44346
      24 2023  7  7  0  1 32 767  4.0976    159.30247   1326.18017   1006.47362    -35.77325     32.23354     -2.76159    166.8    172.6     -4.8      5.9    433.7     71.5    171.2    184.6   3.13485   0.39509  41.42741
      25 2023  7  7  0  1 36 864  4.0971    159.24742   1326.17045   1006.56116    -36.46124     34.77021     -2.83057    166.8    172.6     -4.9      5.8    433.7     71.6    171.2    184.6   3.13455   0.39509  41.43250
      26 2023  7  7  0  1 40 965  4.1006    159.26377   1326.16200   1006.64803    -38.46273     34.67984     -2.90681    166.8    172.6     -4.9      5.8    433.7     71.7    171.2    184.6   3.13425   0.39509  41.41499
      27 2023  7  7  0  1 45  66  4.1017    159.36348   1326.15472   1006.73416    -40.79389     37.34134     -2.98422    166.8    172.6     -5.0      5.7    433.7     71.9    171.2    184.6   3.13395   0.39509  41.42049
      28 2023  7  7  0  1 49 170  4.1036    159.45224   1326.14946   1006.81966    -40.92423     38.86098     -3.04884    166.8    172.6     -5.1      5.7    433.7     72.0    171.2    184.6   3.13365   0.39509  41.40308
      29 2023  7  7  0  1 53 276  4.1058    159.46964   1326.14597   1006.90446    -44.63694     38.04830     -3.09360    166.8    172.6     -5.1      5.7    433.7     72.1    171.2    184.6   3.13335   0.39509  41.40917
      30 2023  7  7  0  1 57 384  4.1086    159.46137   1326.14404   1006.98867    -45.80541     41.59290     -3.12283    166.8    172.6     -5.2      5.6    433.7     72.3    171.2    184.6   3.13306   0.39509  41.39093
      31 2023  7  7  0  2  1 496  4.1110    159.45853   1326.14310   1007.07218    -46.19515     42.36961     -3.14644    166.8    172.6     -5.2      5.6    434.8     72.4    171.2    184.6   3.13276   0.39509  41.39757
      32 2023  7  7  0  2  5 609  4.1132    159.49388   1326.14252   1007.15496    -49.75893     42.51260     -3.17048    166.8    172.6     -5.2      5.6    437.8     72.5    186.5    195.2   3.13246   0.39509  41.37981
      33 2023  7  7  0  2  9 716  4.1078    159.56929   1326.14258   1007.23714    -50.49183     45.73994     -3.19102    166.8    172.6     -5.2      5.6    440.9     72.6    186.5    195.2   3.13216   0.39509  41.38708
      34 2023  7  7  0  2 13 819  4.1022    159.62722   1326.14336   1007.31869    -51.52869     46.23530     -3.20091    166.8    172.6     -5.2      5.6    444.0     72.8    186.5    195.2   3.13186   0.39509  41.36835
      35 2023  7  7  0  2 17 917  4.0985    159.63794   1326.14481   1007.39952    -55.04273     46.22108     -3.19664    166.8    172.6     -5.2      5.5    447.1     72.9    186.5    195.2   3.13156   0.39509  41.37621
      36 2023  7  7  0  2 22  14  4.0964    159.63904   1326.14648   1007.47981    -55.71471     49.59020     -3.17927    166.8    172.6     -5.2      5.5    450.3     73.0    186.5    195.2   3.13127   0.39509  41.35861
      37 2023  7  7  0  2 26 109  4.0952    159.66218   1326.14796   1007.55952    -55.53682     49.91576     -3.15544    166.8    172.6     -5.2      5.5    453.5     73.1    186.5    195.2   3.13097   0.39509  41.36701
      38 2023  7  7  0  2 30 202  4.0934    159.72408   1326.14914   1007.63867    -59.22517     49.65816     -3.12792    166.8    172.6     -5.2      5.5    456.8     73.2    186.5    195.2   3.13067   0.39509  41.34907
      39 2023  7  7  0  2 34 293  4.0906    159.77741   1326.15025   1007.71729    -60.30834     53.25617     -3.09216    166.8    172.6     -5.2      5.5    460.1     73.3    186.5    195.2   3.13037   0.39509  41.35784
      40 2023  7  7  0  2 38 380  4.0875    159.78544   1326.15135   1007.79549    -59.28405     54.01063     -3.04385    166.8    172.6     -5.2      5.5    463.4     73.4    186.5    195.2   3.13007   0.39509  41.34078
      41 2023  7  7  0  2 42 466  4.0853    159.75806   1326.15223   1007.87324    -63.36380     52.66805     -2.98166    166.8    172.6     -5.2      5.5    466.8     73.6    186.5    195.2   3.12978   0.39509  41.35000
      42 2023  7  7  0  2 46 550  4.0847    159.73929   1326.15252   1007.95070    -65.08820     56.71565     -2.90583    166.8    172.6     -5.2      5.4    470.2     73.7    186.5    195.2   3.12948   0.39509  41.33269
      43 2023  7  7  0  2 50 635  4.0852    159.75616   1326.15202   1008.02791    -63.52441     58.26115     -2.82025    166.8    172.6     -5.2      5.4    473.6     73.8    186.5    195.2   3.12918   0.39509  41.34223
      44 2023  7  7  0  2 54 721  4.0857    159.79565   1326.15085   1008.10495    -65.75127     57.02628     -2.72725    166.8    172.6     -5.2      5.4    477.0     73.9    186.5    195.2   3.12889   0.39509  41.32569
      45 2023  7  7  0  2 58 808  4.0864    159.81760   1326.14934   1008.18187    -68.29799     59.55938     -2.62454    166.8    172.6     -5.2      5.4    480.5     74.0    186.5    195.2   3.12859   0.39509  41.33560
      46 2023  7  7  0  3  2 895  4.0879    159.80986   1326.14760   1008.25887    -67.94369     61.97563     -2.50916    166.8    172.6     -5.2      5.4    481.6     74.1    186.5    195.2   3.12829   0.39509  41.31864
      47 2023  7  7  0  3  6 986  4.0905    159.78217   1326.14566   1008.33598    -67.77622     61.52673     -2.38275    166.8    172.6     -5.2      5.4    481.6     74.1    186.5    195.2   3.12799   0.39509  41.32881
      48 2023  7  7  0  3 11  72  4.0856    159.74458   1326.14377   1008.41337    -71.13076     61.98852     -2.24948    166.8    172.6     -5.3      5.4    481.6     74.1    186.5    195.2   3.12770   0.39509  41.31238
      49 2023  7  7  0  3 15 160  4.0883    159.73930   1326.14167   1008.49119    -72.12084     65.27093     -2.11056    166.8    172.6     -5.3      5.4    481.6     74.1    186.5    195.2   3.12740   0.39509  41.32286
      50 2023  7  7  0  3 19 250  4.0904    159.74656   1326.13982   1008.56951    -69.87328     66.15298     -1.96643    166.8    172.6     -5.3      5.4    481.6     74.1    186.5    195.2   3.12710   0.39509  41.30564
      51 2023  7  7  0  3 23 343  4.0924    159.74500   1326.13873   1008.64843    -72.10139     64.78764     -1.81806    166.8    172.6     -5.3      5.4    481.6     74.1    186.5    195.2   3.12681   0.39509  41.31640
      52 2023  7  7  0  3 27 438  4.0952    159.70755   1326.13890   1008.72819    -74.12315     67.50316     -1.66703    166.8    172.6     -5.4      5.4    481.6     74.2    186.5    195.2   3.12651   0.39509  41.29948
      53 2023  7  7  0  3 31 537  4.0989    159.65194   1326.14070   1008.80890    -73.50201     69.46934     -1.51547    166.8    172.6     -5.4      5.4    481.6     74.2    186.5    195.2   3.12621   0.39509  41.31062
      54 2023  7  7  0  3 35 640  4.1033    159.62602   1326.14452   1008.89078    -72.95478     68.95608     -1.36709    166.8    172.6     -5.4      5.4    481.6     74.2    186.5    195.2   3.12591   0.39509  41.29273
      55 2023  7  7  0  3 39 742  4.1023    159.63635   1326.15117   1008.97384    -75.69797     69.51467     -1.22448    166.8    172.6     -5.5      5.4    481.6     74.2    186.5    195.2   3.12561   0.39509  41.30418
      56 2023  7  7  0  3 43 842  4.0997    159.65704   1326.16148   1009.05834    -76.26391     72.25697     -1.08772    166.8    172.6     -5.5      5.4    481.6     74.2    186.5    195.2   3.12531   0.39509  41.28651
      57 2023  7  7  0  3 47 940  4.0977    159.65197   1326.17616   1009.14444    -74.00673     72.98004     -0.95687    166.8    172.6     -5.5      5.4    481.6     74.3    186.5    195.2   3.12502   0.39509  41.29827
      58 2023  7  7  0  3 52  36  4.0964    159.62012   1326.19618   1009.23244    -75.52687     72.04725     -0.83418    166.8    172.6     -5.6      5.4    481.6     74.3    186.5    195.2   3.12472   0.39509  41.27991
      59 2023  7  7  0  3 56 132  4.0954    159.58800   1326.22237   1009.32257    -77.07868     73.80590     -0.72194    166.8    172.6     -5.6      5.4    481.6     74.3    186.5    195.2   3.12442   0.39509  41.29181
      60 2023  7  7  0  4  0 226  4.0944    159.57991   1326.25647   1009.41517    -76.34172     75.43093     -0.61990    166.8    172.6     -5.6      5.4    481.6     74.3    186.5    195.2   3.12412   0.39509  41.27376
      61 2023  7  7  0  4  4 319  4.0935    159.57275   1326.30016   1009.51040    -75.44411     75.04033     -0.52626    166.8    172.6     -5.4      5.4    481.6     74.3    190.2    203.4   3.12383   0.39509  41.28624
      62 2023  7  7  0  4  8 412  4.0928    159.54334   1326.35359   1009.60887    -77.53503     74.79335     -0.43951    166.8    172.6     -5.2      5.4    481.6     74.3    190.2    203.4   3.12353   0.39509  41.26733
      63 2023  7  7  0  4 12 504  4.0921    159.51108   1326.41794   1009.71084    -77.83987     76.89639     -0.35893    166.8    172.6     -4.9      5.4    481.6     74.4    190.2    203.4   3.12323   0.39509  41.27953
      64 2023  7  7  0  4 16 595  4.0910    159.49958   1326.49880   1009.81671    -75.68033     77.44122     -0.28341    166.8    172.6     -4.7      5.4    481.6     74.4    190.2    203.4   3.12293   0.39509  41.26309
      65 2023  7  7  0  4 20 685  4.0896    159.51208   1326.59366   1009.92674    -76.77373     77.72871     -0.21220    166.8    172.6     -4.5      5.4    481.6     74.4    190.2    203.4   3.12264   0.39509  41.27546
      66 2023  7  7  0  4 24 773  4.0884    159.52897   1326.70965   1010.04137    -77.54283     81.86139     -0.14419    166.8    172.6     -4.3      5.4    481.6     74.4    190.2    203.4   3.12234   0.39509  41.25747
      67 2023  7  7  0  4 28 861  4.0875    159.52798   1326.84534   1010.16090    -76.48713     83.80526     -0.07800    166.8    172.6     -4.1      5.4    481.6     74.4    190.2    203.4   3.12204   0.39509  41.26989
      68 2023  7  7  0  4 32 948  4.0869    159.52032   1327.00987   1010.28576    -76.17587     83.45301     -0.01112    166.8    172.6     -3.8      5.4    481.6     74.4    190.2    203.4   3.12174   0.39509  41.25278
      69 2023  7  7  0  4 37  35  4.0868    159.51378   1327.19898   1010.41621    -77.10734     84.77947      0.05938    166.8    172.6     -3.6      5.4    481.6     74.4    190.2    203.4   3.12145   0.39509  41.26542
      70 2023  7  7  0  4 41 122  4.0870    159.51510   1327.42803   1010.55255    -76.49221     89.66275      0.13504    166.8    172.6     -3.4      5.4    481.6     74.4    190.2    203.4   3.12115   0.39509  41.24715
      71 2023  7  7  0  4 45 209  4.0873    159.52672   1328.27678   1010.69491    -75.40662     92.42572      0.21644    166.8    172.6     -3.2      5.4    481.6     74.5    190.2    203.4   3.12085   0.39509  41.25992
      72 2023  7  7  0  4 49 297  4.0879    159.53454   1330.02153   1010.84346    -76.09635     92.80192      0.30507    166.8    172.6     -3.0      5.4    481.6     74.5    190.2    203.4   3.12055   0.39509  41.24268
      73 2023  7  7  0  4 53 386  4.0889    159.53169   1331.42566   1010.99815    -75.45420     93.68554      0.40360    166.8    172.6     -2.7      5.4    481.6     74.5    190.2    203.4   3.12026   0.39509  41.25564
      74 2023  7  7  0  4 57 476  4.0902    159.52046   1333.51457   1011.15887    -77.85811     99.09963      0.51418    166.8    172.6     -2.5      5.4    481.6     74.5    190.2    203.4   3.11996   0.39509  41.23744
      75 2023  7  7  0  5  1 568  4.0916    159.51740   1335.09231   1011.32525    -80.55764    102.43517      0.63752    166.8    172.6     -2.5      5.3    481.6     74.5    190.2    203.4   3.11966   0.39509  41.25044
      76 2023  7  7  0  5  5 661  4.0930    159.52805   1335.94289   1011.49690    -82.12276    103.34331      0.77188    166.8    172.6     -2.7      5.2    481.6     74.5    190.2    203.4   3.11936   0.39509  41.23348
      77 2023  7  7  0  5  9 755  4.0941    159.55460   1337.04937   1011.67239    -82.39767    101.98279      0.91522    166.8    172.6     -2.9      5.2    481.6     74.5    190.2    203.4   3.11907   0.39509  41.24674
      78 2023  7  7  0  5 13 850  4.0951    159.57451   1338.35432   1011.85133    -83.12281    106.03383      1.06603    166.8    172.6     -3.1      5.1    481.6     74.5    190.2    203.4   3.11877   0.39509  41.22848
      79 2023  7  7  0  5 17 946  4.0962    159.57853   1339.10905   1012.03294    -86.37314    109.97272      1.22334    166.8    172.6     -3.3      5.0    481.6     74.5    190.2    203.4   3.11847   0.39508  41.24180
      80 2023  7  7  0  5 22  43  4.0974    159.57882   1339.62279   1012.21627    -88.55381    111.85639      1.38503    166.8    172.6     -3.5      4.9    481.6     74.5    190.2    203.4   3.11817   0.39508  41.22509
      81 2023  7  7  0  5 26 142  4.0983    159.58486   1340.60633   1012.40008    -89.42473    111.33952      1.54799    166.8    172.6     -3.7      4.9    481.6     74.5    190.2    203.4   3.11787   0.39508  41.23871
      82 2023  7  7  0  5 30 241  4.0992    159.60082   1341.24079   1012.58309    -88.85634    113.42395      1.70933    166.8    172.6     -3.9      4.8    481.6     74.5    190.2    203.4   3.11758   0.39508  41.22052
      83 2023  7  7  0  5 34 341  4.1002    159.61708   1341.64475   1012.76385    -89.78568    117.98185      1.86715    166.8    172.6     -4.1      4.7    481.6     74.5    190.2    203.4   3.11728   0.39508  41.23414
      84 2023  7  7  0  5 38 442  4.1013    159.62301   1342.38044   1012.94101    -92.41354    120.48875      2.01950    166.8    172.6     -4.3      4.6    481.6     74.5    190.2    203.4   3.11698   0.39508  41.21760
      85 2023  7  7  0  5 42 545  4.1025    159.62673   1342.70289   1013.11312    -93.84274    120.74277      2.16458    166.8    172.6     -4.5      4.6    481.6     74.5    190.2    203.4   3.11668   0.39508  41.23148
      86 2023  7  7  0  5 46 649  4.1039    159.63144   1343.20446   1013.27886    -93.86186    119.14875      2.30048    166.8    172.6     -4.7      4.5    481.6     74.5    190.2    203.4   3.11638   0.39508  41.21342
      87 2023  7  7  0  5 50 754  4.1054    159.63802   1343.54884   1013.43685    -92.80841    124.03254      2.42538    166.8    172.6     -4.9      4.4    481.6     74.5    190.2    203.4   3.11609   0.39508  41.22730
      88 2023  7  7  0  5 54 861  4.1069    159.64561   1343.76866   1013.58599    -93.08021    126.90041      2.53776    166.8    172.6     -5.0      4.3    481.6     74.5    190.2    203.4   3.11579   0.39508  41.21085
      89 2023  7  7  0  5 58 969  4.1083    159.65199   1344.03858   1013.72522    -94.80117    127.82885      2.63683    166.8    172.6     -5.2      4.3    481.6     74.5    190.2    203.4   3.11549   0.39508  41.22497
      90 2023  7  7  0  6  3  79  4.1094    159.65543   1344.02985   1013.85383    -95.28156    126.55482      2.72240    166.8    172.6     -5.3      4.2    481.6     74.5    190.2    203.4   3.11519   0.39508  41.20694
      91 2023  7  7  0  6  7 189  4.1104    159.65721   1344.17647   1013.97136    -94.41499    128.44066      2.79386    166.8    172.6     -5.4      4.2    481.6     74.5    191.3    205.2   3.11489   0.39508  41.22117
      92 2023  7  7  0  6 11 295  4.1056    159.65938   1344.02488   1014.07807    -93.04275    131.54630      2.85051    166.8    172.6     -5.4      4.2    481.6     74.5    191.3    205.2   3.11459   0.39508  41.20494
      93 2023  7  7  0  6 15 399  4.1046    159.66337   1343.98403   1014.17360    -94.43300    132.62576      2.89304    166.8    172.6     -5.4      4.1    481.6     74.5    191.3    205.2   3.11429   0.39508  41.21945
      94 2023  7  7  0  6 19 503  4.1037    159.67158   1343.72851   1014.25795    -94.80831    131.91104      2.92221    166.8    172.6     -5.4      4.1    481.6     74.4    191.3    205.2   3.11399   0.39508  41.19850
      95 2023  7  7  0  6 23 606  4.1030    159.67619   1343.54684   1014.33140    -94.85132    130.91038      2.93883    166.8    172.6     -5.5      4.1    481.6     74.4    191.3    205.2   3.11370   0.39508  41.21314
      96 2023  7  7  0  6 27 709  4.1024    159.67303   1343.44004   1014.39460    -93.48703    133.96054      2.94383    166.8    172.6     -5.5      4.1    481.6     74.4    191.3    205.2   3.11340   0.39508  41.19634
      97 2023  7  7  0  6 31 810  4.1018    159.66404   1343.57076   1014.44828    -92.49399    135.30227      2.93810    166.8    172.6     -5.5      4.0    481.6     74.4    191.3    205.2   3.11310   0.39508  41.21153
      98 2023  7  7  0  6 35 912  4.1014    159.65662   1344.15745   1014.49341    -93.10935    134.74431      2.92252    166.8    172.6     -5.6      4.0    481.6     74.4    191.3    205.2   3.11280   0.39508  41.19171
      99 2023  7  7  0  6 40  13  4.1010    159.65568   1344.70087   1014.53097    -93.21160    132.60560      2.89840    166.8    172.6     -5.6      4.0    481.6     74.4    191.3    205.2   3.11250   0.39508  41.20680
     100 2023  7  7  0  6 44 114  4.1008    159.65757   1345.05899   1014.56211    -92.03420    135.37885      2.86718    166.8    172.6     -5.6      4.0    481.6     74.4    191.3    205.2   3.11220   0.39508  41.18991
     101 2023  7  7  0  6 48 214  4.1008    159.65895   1345.21929   1014.58794    -89.46904    136.71061      2.83035    166.8    172.6     -5.7      3.9    481.6     74.4    191.3    205.2   3.11191   0.39508  41.20527
     102 2023  7  7  0  6 52 315  4.1010    159.65691   1345.17721   1014.60967    -89.53863    136.40219      2.78922    166.8    172.6     -5.7      3.9    481.6     74.4    191.3    205.2   3.11161   0.39508  41.18551
     103 2023  7  7  0  6 56 417  4.1015    159.65201   1344.93092   1014.62836    -89.40040    134.59917      2.74480    166.8    172.6     -5.7      3.9    481.6     74.3    191.3    205.2   3.11131   0.39508  41.20069
     104 2023  7  7  0  7  0 519  4.1022    159.64795   1344.48114   1014.64516    -88.08078    136.91342      2.69815    166.8    172.6     -5.7      3.9    481.5     74.4    191.3    205.2   3.11101   0.39508  41.18343
     105 2023  7  7  0  7  4 622  4.1030    159.64713   1343.83121   1014.66102    -85.50485    137.94258      2.65032    166.8    172.6     -5.5      3.9    480.9     74.5    191.3    205.2   3.11071   0.39508  41.19885
     106 2023  7  7  0  7  8 721  4.0986    159.64490   1342.98986   1014.67711    -83.99933    137.54938      2.60228    166.8    172.6     -5.3      4.0    480.3     74.6    191.3    205.2   3.11042   0.39508  41.17885
     107 2023  7  7  0  7 12 820  4.0996    159.63910   1341.96313   1014.69418    -83.37122    137.72152      2.55464    166.8    172.6     -5.0      4.1    479.7     74.8    191.3    205.2   3.11012   0.39508  41.19402
     108 2023  7  7  0  7 16 921  4.1006    159.63167   1340.76154   1014.71298    -81.67238    139.26753      2.50789    166.8    172.6     -4.8      4.2    479.1     74.9    191.3    205.2   3.10982   0.39508  41.17662
     109 2023  7  7  0  7 21  23  4.1017    159.62744   1339.39760   1014.73416    -78.88340    139.60172      2.46246    166.8    172.6     -4.6      4.3    478.5     75.0    191.3    205.2   3.10952   0.39508  41.19203
     110 2023  7  7  0  7 25 125  4.1029    159.62831   1337.88539   1014.75840    -77.03551    140.09682      2.41862    166.8    172.6     -4.4      4.3    477.9     75.2    191.3    205.2   3.10922   0.39508  41.17165
     111 2023  7  7  0  7 29 229  4.1040    159.63028   1336.24090   1014.78623    -75.98678    141.49835      2.37652    166.8    172.6     -4.1      4.4    477.4     75.3    191.3    205.2   3.10892   0.39508  41.18688
     112 2023  7  7  0  7 33 335  4.1051    159.63169   1334.48210   1014.81823    -75.04254    141.76984      2.33595    166.8    172.6     -3.9      4.5    476.8     75.4    191.3    205.2   3.10863   0.39508  41.16906
     113 2023  7  7  0  7 37 440  4.1059    159.62958   1332.62829   1014.85482    -73.63009    143.48860      2.29655    166.8    172.6     -3.7      4.6    476.2     75.6    191.3    205.2   3.10833   0.39508  41.18457
     114 2023  7  7  0  7 41 545  4.1051    159.62500   1331.77367   1014.89645    -76.70643    144.46135      2.25826    166.8    172.6     -3.4      4.7    475.6     75.7    191.3    205.2   3.10803   0.39508  41.16376
     115 2023  7  7  0  7 45 650  4.1043    159.62227   1330.95020   1014.94344    -79.06367    145.86509      2.22038    166.8    172.6     -3.2      4.8    475.1     75.8    191.3    205.2   3.10773   0.39508  41.17905
     116 2023  7  7  0  7 49 753  4.1036    159.62336   1330.13518   1014.99619    -80.54084    147.36520      2.18253    166.8    172.6     -3.0      4.8    474.5     76.0    191.3    205.2   3.10743   0.39508  41.16101
     117 2023  7  7  0  7 53 856  4.1029    159.62556   1329.33832   1015.05491    -81.01383    149.08197      2.14421    166.8    172.6     -2.7      4.9    473.9     76.1    191.3    205.2   3.10713   0.39508  41.17652
     118 2023  7  7  0  7 57 959  4.1024    159.62734   1328.56900   1015.11989    -81.65909    150.96910      2.10499    166.8    172.6     -2.5      5.0    473.4     76.2    191.3    205.2   3.10683   0.39508  41.15559
     119 2023  7  7  0  8  2  61  4.1018    159.62792   1327.83614   1015.19122    -84.44003    152.29625      2.06442    166.8    172.6     -2.2      5.0    472.9     76.4    191.3    205.2   3.10654   0.39508  41.17089
     120 2023  7  7  0  8  6 162  4.1014    159.62736   1327.14882   1015.26935    -86.41481    152.58705      2.02198    166.8    172.6     -1.9      4.9    472.6     76.4    197.9    221.2   3.10624   0.39508  41.15305
     121 2023  7  7  0  8 10 263  4.1010    159.62731   1326.51411   1015.35287    -87.43076    151.87615      1.97728    166.8    172.6     -1.6      4.7    472.3     76.5    197.9    221.2   3.10594   0.39508  41.16844
     122 2023  7  7  0  8 14 364  4.1007    159.62941   1325.93878   1015.44225    -87.41126    150.19832      1.92990    166.8    172.6     -1.3      4.6    471.9     76.6    197.9    221.2   3.10564   0.39508  41.14987
     123 2023  7  7  0  8 18 464  4.1004    159.63316   1327.28336   1015.53756    -86.34862    147.59375      1.87973    166.8    172.6     -1.0      4.5    471.6     76.7    197.9    221.2   3.10534   0.39508  41.16477
     124 2023  7  7  0  8 22 564  4.1002    159.63687   1328.85379   1015.63859    -88.13318    144.34102      1.82641    166.8    172.6     -0.7      4.4    471.3     76.8    197.9    221.2   3.10505   0.39508  41.14689
     125 2023  7  7  0  8 26 664  4.1000    159.63918   1329.64197   1015.74488    -89.68100    141.14254      1.76988    166.8    172.6     -0.4      4.3    471.0     76.9    197.9    221.2   3.10475   0.39508  41.16180
